ensembl_gene_id;external_gene_name;chromosome_name;start_position;end_position;strand
ENSMUSG00000000001;Gnai3;3;108014596;108053462;-1
ENSMUSG00000000028;Cdc45;16;18599197;18630737;-1
ENSMUSG00000000037;Scml2;X;159865521;160041209;1
ENSMUSG00000000049;Apoh;11;108234180;108305222;1
ENSMUSG00000000056;Narf;11;121128079;121146682;1
ENSMUSG00000000058;Cav2;6;17281184;17289114;1
ENSMUSG00000000078;Klf6;13;5911481;5920393;1
ENSMUSG00000000085;Scmh1;4;120262478;120387383;1
ENSMUSG00000000088;Cox5a;9;57428557;57439709;1
ENSMUSG00000000093;Tbx2;11;85723377;85732774;1
ENSMUSG00000000094;Tbx4;11;85777248;85806923;1
ENSMUSG00000000120;Ngfr;11;95459644;95478561;-1
ENSMUSG00000000126;Wnt9a;11;59197754;59224378;1
ENSMUSG00000000127;Fer;17;64170057;64446491;1
ENSMUSG00000000131;Xpo6;7;125700887;125799673;-1
ENSMUSG00000000134;Tfe3;X;7628799;7641441;1
ENSMUSG00000000142;Axin2;11;108811175;108841609;1
ENSMUSG00000000148;Brat1;5;140690766;140705134;1
ENSMUSG00000000149;Gna12;5;140744163;140816186;-1
ENSMUSG00000000154;Slc22a18;7;143027473;143053071;1
ENSMUSG00000000157;Itgb2l;16;96223488;96244819;-1
ENSMUSG00000000159;Igsf5;16;96162868;96223321;1
ENSMUSG00000000167;Pih1d2;9;50528621;50536300;1
ENSMUSG00000000168;Dlat;9;50545933;50571080;-1
ENSMUSG00000000171;Sdhd;9;50507657;50515112;-1
ENSMUSG00000000184;Ccnd2;6;127102125;127129156;-1
ENSMUSG00000000194;Gpr107;2;31042328;31108787;1
ENSMUSG00000000204;Slfn4;11;83066012;83081042;1
ENSMUSG00000000216;Scnn1g;7;121333702;121367698;1
ENSMUSG00000000223;Drp2;X;133305300;133357322;1
ENSMUSG00000000244;Tspan32;7;142558783;142573381;1
ENSMUSG00000000248;Clec2g;6;128911344;128961670;1
ENSMUSG00000000253;Gmpr;13;45660920;45707276;1
ENSMUSG00000000266;Mid2;X;139565348;139668464;1
ENSMUSG00000000275;Trim25;11;88890202;88911119;1
ENSMUSG00000000276;Dgke;11;88926005;88957676;-1
ENSMUSG00000000278;Scpep1;11;88814846;88846291;-1
ENSMUSG00000000282;Mnt;11;74721746;74736551;1
ENSMUSG00000000290;Itgb2;10;77366086;77401542;1
ENSMUSG00000000295;Hddc2;10;31189379;31204200;1
ENSMUSG00000000296;Tpd52l1;10;31208372;31321954;-1
ENSMUSG00000000301;Pemt;11;59861440;59937315;-1
ENSMUSG00000000303;Cdh1;8;107329983;107396878;1
ENSMUSG00000000305;Cdh4;2;179084224;179541166;1
ENSMUSG00000000308;Ckmt1;2;121188195;121194218;1
ENSMUSG00000000317;Bcl6b;11;70114954;70120624;-1
ENSMUSG00000000318;Clec10a;11;70047023;70061660;1
ENSMUSG00000000320;Alox12;11;70132283;70146179;-1
ENSMUSG00000000326;Comt;16;18225636;18245602;-1
ENSMUSG00000000339;Rtca;3;116282612;116301857;-1
ENSMUSG00000000340;Dbt;3;116306719;116343630;1
ENSMUSG00000000346;Dazap2;15;100513230;100518642;1
ENSMUSG00000000355;Mcts1;X;37689455;37702303;1
ENSMUSG00000000359;Rem1;2;152468871;152477118;1
ENSMUSG00000000374;Trappc10;10;78022559;78080475;-1
ENSMUSG00000000378;Ccm2;11;6496887;6546744;1
ENSMUSG00000000384;Tbrg4;11;6565598;6576067;-1
ENSMUSG00000000385;Tmprss2;16;97365882;97412395;-1
ENSMUSG00000000386;Mx1;16;97248235;97264107;-1
ENSMUSG00000000392;Fap;2;62331287;62404419;-1
ENSMUSG00000000399;Ndufa9;6;126798684;126826099;-1
ENSMUSG00000000402;Egfl6;X;165306003;165368716;-1
ENSMUSG00000000416;Cttnbp2;6;18366477;18514842;-1
ENSMUSG00000000420;Galnt1;18;24338401;24419875;1
ENSMUSG00000000439;Mkrn2;6;115578863;115599585;1
ENSMUSG00000000440;Pparg;6;115337912;115467360;1
ENSMUSG00000000441;Raf1;6;115595028;115653596;-1
ENSMUSG00000000486;Septin1;7;126813619;126832302;-1
ENSMUSG00000000489;Pdgfb;15;79880075;79899178;-1
ENSMUSG00000000530;Acvrl1;15;101026403;101043217;1
ENSMUSG00000000531;Tamalin;15;101122069;101130637;1
ENSMUSG00000000532;Acvr1b;15;101071948;101111565;1
ENSMUSG00000000538;Tom1l2;11;60117540;60243731;-1
ENSMUSG00000000552;Zfp385a;15;103222322;103248520;-1
ENSMUSG00000000555;Itga5;15;103252713;103275190;-1
ENSMUSG00000000560;Gabra2;5;71114940;71253192;-1
ENSMUSG00000000561;Wdr77;3;105866685;105877353;1
ENSMUSG00000000562;Adora3;3;105778174;105816242;1
ENSMUSG00000000563;Atp5pb;3;105850014;105867415;-1
ENSMUSG00000000567;Sox9;11;112673050;112678586;1
ENSMUSG00000000568;Hnrnpd;5;100103794;100126797;-1
ENSMUSG00000000579;Dynlt1c;17;6869070;6877173;1
ENSMUSG00000000581;C1d;11;17207579;17219176;1
ENSMUSG00000000594;Gm2a;11;54988941;55003855;1
ENSMUSG00000000600;Krit1;5;3853184;3895564;1
ENSMUSG00000000605;Clcn4;7;7285308;7303850;-1
ENSMUSG00000000617;Grm6;11;50741512;50757035;1
ENSMUSG00000000627;Sema4f;6;82888866;82916750;-1
ENSMUSG00000000628;Hk2;6;82702006;82751435;-1
ENSMUSG00000000631;Myo18a;11;77654072;77756806;1
ENSMUSG00000000632;Sez6;11;77821626;77869874;1
ENSMUSG00000000673;Haao;17;84138585;84155392;-1
ENSMUSG00000000682;Cd52;4;133809759;133822393;-1
ENSMUSG00000000686;Abhd15;11;77405947;77429433;1
ENSMUSG00000000690;Hoxb6;11;96183302;96192395;1
ENSMUSG00000000693;Loxl3;6;83011154;83029543;1
ENSMUSG00000000706;Btn1a1;13;23641162;23650071;-1
ENSMUSG00000000708;Kat2b;17;53873889;53979748;1
ENSMUSG00000000711;Rab5b;10;128513044;128532133;-1
ENSMUSG00000000724;Cryba1;11;77609441;77616109;-1
ENSMUSG00000000731;Aire;10;77865856;77879444;-1
ENSMUSG00000000732;Icosl;10;77905136;77919747;1
ENSMUSG00000000738;Spg7;8;123789681;123824499;1
ENSMUSG00000000740;Rpl13;8;123829089;123831983;1
ENSMUSG00000000743;Chmp1a;8;123931003;123939502;-1
ENSMUSG00000000751;Rpa1;11;75188992;75239150;-1
ENSMUSG00000000753;Serpinf1;11;75300595;75313527;-1
ENSMUSG00000000759;Tubgcp3;8;12664277;12722248;-1
ENSMUSG00000000766;Oprm1;10;6708506;6988198;1
ENSMUSG00000000776;Polr3d;14;70676197;70680887;-1
ENSMUSG00000000782;Tcf7;11;52143198;52174158;-1
ENSMUSG00000000787;Ddx3x;X;13147209;13160291;1
ENSMUSG00000000794;Kcnn3;3;89427471;89582439;1
ENSMUSG00000000804;Usp32;11;84875268;85030987;-1
ENSMUSG00000000805;Car4;11;84848612;84856870;1
ENSMUSG00000000811;Txnrd3;6;89620970;89652511;1
ENSMUSG00000000823;Zfp512b;2;181223896;181234596;-1
ENSMUSG00000000826;Dnajc5;2;181162278;181196926;1
ENSMUSG00000000827;Tpd52l2;2;181138935;181159759;1
ENSMUSG00000000838;Fmr1;X;67722147;67761569;1
ENSMUSG00000000861;Bcl11a;11;24028056;24124123;1
ENSMUSG00000000876;Pxmp4;2;154427678;154445628;-1
ENSMUSG00000000881;Dlg3;X;99811328;99862016;1
ENSMUSG00000000884;Gnb1l;16;18317463;18385429;1
ENSMUSG00000000901;Mmp11;10;75759056;75772330;-1
ENSMUSG00000000902;Smarcb1;10;75732603;75757451;-1
ENSMUSG00000000915;Hip1r;5;124111691;124143621;1
ENSMUSG00000000916;Nsun5;5;135398807;135405659;1
ENSMUSG00000000934;Top1mt;15;75528884;75550649;-1
ENSMUSG00000000938;Hoxa10;6;52208177;52217834;-1
ENSMUSG00000000942;Hoxa4;6;52166651;52168733;-1
ENSMUSG00000000948;Gm38393;7;59623897;59654812;-1
ENSMUSG00000000957;Mmp14;14;54669069;54682821;1
ENSMUSG00000000958;Slc7a7;14;54606899;54655237;-1
ENSMUSG00000000959;Oxa1l;14;54598291;54607130;1
ENSMUSG00000000976;Heatr6;11;83644522;83674580;1
ENSMUSG00000001016;Ilf2;3;90383433;90395686;1
ENSMUSG00000001017;Chtop;3;90406263;90416805;-1
ENSMUSG00000001018;Snapin;3;90395333;90398340;-1
ENSMUSG00000001020;S100a4;3;90511078;90513352;1
ENSMUSG00000001021;S100a3;3;90491966;90510009;1
ENSMUSG00000001025;S100a6;3;90520189;90531488;1
ENSMUSG00000001029;Icam2;11;106268482;106278901;-1
ENSMUSG00000001034;Mapk7;11;61379638;61385232;-1
ENSMUSG00000001036;Epn2;11;61408075;61470513;-1
ENSMUSG00000001039;B9d1;11;61395970;61403757;1
ENSMUSG00000001052;Sec24b;3;129776408;129855202;-1
ENSMUSG00000001053;N4bp3;11;51533890;51541669;-1
ENSMUSG00000001054;Rmnd5b;11;51514498;51526723;-1
ENSMUSG00000001056;Nhp2;11;51510562;51514541;1
ENSMUSG00000001062;Vps9d1;8;123969095;123981087;-1
ENSMUSG00000001065;Zfp276;8;123980934;123996484;1
ENSMUSG00000001082;Mfsd10;5;34790986;34794556;-1
ENSMUSG00000001089;Luzp1;4;136197072;136282091;1
ENSMUSG00000001095;Slc13a2;11;78287913;78313043;-1
ENSMUSG00000001098;Kctd10;5;114501628;114518569;-1
ENSMUSG00000001100;Poldip2;11;78403019;78413562;1
ENSMUSG00000001105;Ift20;11;78427187;78432563;1
ENSMUSG00000001119;Col6a1;10;76544626;76562002;-1
ENSMUSG00000001120;Pcbp3;10;76597691;76797721;-1
ENSMUSG00000001123;Lgals9;11;78853800;78875772;-1
ENSMUSG00000001127;Araf;X;20664053;20726758;1
ENSMUSG00000001128;Cfp;X;20791693;20797794;-1
ENSMUSG00000001131;Timp1;X;20736405;20740974;1
ENSMUSG00000001134;Uxt;X;20807961;20828256;-1
ENSMUSG00000001138;Cnnm3;1;36550948;36567318;1
ENSMUSG00000001143;Lman2l;1;36458952;36484352;-1
ENSMUSG00000001150;Mcm3ap;10;76304761;76351691;1
ENSMUSG00000001151;Pcnt;10;76187097;76278620;-1
ENSMUSG00000001155;Ftcd;10;76411482;76426172;1
ENSMUSG00000001156;Mxd1;6;86624024;86646143;-1
ENSMUSG00000001157;Gmcl1;6;86668750;86710365;-1
ENSMUSG00000001158;Snrnp27;6;86652133;86661504;-1
ENSMUSG00000001166;Oas1c;5;120938259;120950579;-1
ENSMUSG00000001173;Ocrl;X;47001264;47054745;1
ENSMUSG00000001175;Calm1;12;100165694;100176073;1
ENSMUSG00000001211;Agpat3;10;78105012;78188323;-1
ENSMUSG00000001225;Slc26a3;12;31440870;31523916;1
ENSMUSG00000001227;Sema6b;17;56430085;56447343;-1
ENSMUSG00000001228;Uhrf1;17;56610321;56630486;1
ENSMUSG00000001229;Dpp9;17;56493807;56525905;-1
ENSMUSG00000001240;Ramp2;11;101136854;101150372;1
ENSMUSG00000001247;Lsr;7;30657195;30672889;-1
ENSMUSG00000001248;Gramd1a;7;30829552;30855321;-1
ENSMUSG00000001249;Hpn;7;30798150;30814715;-1
ENSMUSG00000001260;Gabrg1;5;70908390;70999960;-1
ENSMUSG00000001270;Ckb;12;111635795;111638772;-1
ENSMUSG00000001280;Sp1;15;102314578;102344839;1
ENSMUSG00000001281;Itgb7;15;102124430;102140379;-1
ENSMUSG00000001285;Myg1;15;102240144;102246574;1
ENSMUSG00000001288;Rarg;15;102143373;102165952;-1
ENSMUSG00000001289;Pfdn5;15;102234551;102240308;1
ENSMUSG00000001300;Efnb2;8;8667434;8711242;-1
ENSMUSG00000001305;Rrp15;1;186453175;186481555;-1
ENSMUSG00000001313;Rnd2;11;101355825;101362679;1
ENSMUSG00000001323;Srr;11;74797185;74816774;-1
ENSMUSG00000001333;Sync;4;129181410;129202352;1
ENSMUSG00000001334;Fndc5;4;129030792;129038386;1
ENSMUSG00000001348;Acp5;9;22038023;22047007;-1
ENSMUSG00000001366;Fbxo9;9;77988781;78016347;-1
ENSMUSG00000001376;Vps50;6;3498382;3603531;1
ENSMUSG00000001380;Hars;18;36899581;36916258;-1
ENSMUSG00000001383;Zmat2;18;36926929;36932719;1
ENSMUSG00000001403;Ube2c;2;164611818;164620742;1
ENSMUSG00000001415;Smg5;3;88243567;88269645;1
ENSMUSG00000001416;Cct3;3;88204423;88229074;1
ENSMUSG00000001418;Glmp;3;88232330;88238620;1
ENSMUSG00000001419;Mef2d;3;88049679;88079393;1
ENSMUSG00000001424;Snd1;6;28475138;28935161;1
ENSMUSG00000001435;Col18a1;10;76888012;77002382;-1
ENSMUSG00000001436;Slc19a1;10;76868075;76896836;1
ENSMUSG00000001440;Kpnb1;11;97050540;97078707;-1
ENSMUSG00000001441;Npepps;11;97096668;97171464;-1
ENSMUSG00000001445;Mrpl10;11;96932386;96940039;1
ENSMUSG00000001467;Cyp51;5;4131145;4154746;-1
ENSMUSG00000001472;Tcf25;8;124100492;124130574;1
ENSMUSG00000001473;Tubb6;18;67523787;67535819;1
ENSMUSG00000001482;Def8;8;124150266;124190009;1
ENSMUSG00000001493;Meox1;11;101768336;101785200;-1
ENSMUSG00000001496;Nkx2-1;12;56578743;56583693;-1
ENSMUSG00000001497;Pax9;12;56738552;56759607;1
ENSMUSG00000001504;Irx2;13;72776939;72782317;1
ENSMUSG00000001506;Col1a1;11;94827050;94843868;1
ENSMUSG00000001507;Itga3;11;94935300;94967627;-1
ENSMUSG00000001510;Dlx3;11;95010945;95016122;1
ENSMUSG00000001517;Foxm1;6;128339930;128353109;1
ENSMUSG00000001518;Itfg2;6;128386407;128401894;-1
ENSMUSG00000001520;Nrip2;6;128376259;128393390;1
ENSMUSG00000001521;Tulp3;6;128298124;128332814;-1
ENSMUSG00000001524;Gtf2h4;17;35978622;35984631;-1
ENSMUSG00000001525;Tubb5;17;36144813;36149198;-1
ENSMUSG00000001542;Ell2;13;75854876;75920483;1
ENSMUSG00000001552;Jup;11;100259784;100288589;-1
ENSMUSG00000001555;Fkbp10;11;100306523;100315650;1
ENSMUSG00000001569;Nom1;5;29639662;29662841;1
ENSMUSG00000001576;Ergic1;17;26780463;26875908;1
ENSMUSG00000001583;Tnk1;11;69741831;69749556;-1
ENSMUSG00000001588;Acap1;11;69772393;69786365;-1
ENSMUSG00000001604;Tcea3;4;135975040;136002209;1
ENSMUSG00000001622;Csn3;5;88073438;88080524;1
ENSMUSG00000001627;Ifrd1;12;40251566;40298503;-1
ENSMUSG00000001630;Stk38l;6;146626493;146680310;1
ENSMUSG00000001632;Brpf1;6;113284098;113301821;1
ENSMUSG00000001642;Akr1b3;6;34279369;34294413;-1
ENSMUSG00000001657;Hoxc8;15;102899039;102902543;1
ENSMUSG00000001661;Hoxc6;15;102906689;102920313;1
ENSMUSG00000001663;Gstt1;10;75619647;75634418;-1
ENSMUSG00000001665;Gstt3;10;75609949;75617248;-1
ENSMUSG00000001666;Ddt;10;75607064;75609248;-1
ENSMUSG00000001672;Marveld3;8;110674546;110688835;-1
ENSMUSG00000001674;Ddx18;1;121481564;121495718;-1
ENSMUSG00000001687;Ubl3;5;148441445;148489599;-1
ENSMUSG00000001700;Gramd3;18;56533409;56636864;1
ENSMUSG00000001707;Eef1e1;13;38828183;38843034;-1
ENSMUSG00000001729;Akt1;12;112620255;112641318;-1
ENSMUSG00000001739;Cldn15;5;136995470;137004712;1
ENSMUSG00000001741;Il16;7;83292033;83394934;-1
ENSMUSG00000001750;Tcirg1;19;3946050;3957133;-1
ENSMUSG00000001751;Naglu;11;100960838;100968498;1
ENSMUSG00000001755;Coasy;11;100973391;100977445;1
ENSMUSG00000001761;Smo;6;29735502;29761364;1
ENSMUSG00000001763;Tspan33;6;29694221;29718558;1
ENSMUSG00000001767;Crnkl1;2;145759399;145776934;-1
ENSMUSG00000001768;Rin2;2;145517135;145729536;1
ENSMUSG00000001773;Folh1;7;86368185;86425151;-1
ENSMUSG00000001774;Chordc1;9;18203421;18228738;1
ENSMUSG00000001783;Rtcb;10;85774501;85793687;-1
ENSMUSG00000001785;Pwp1;10;85665358;85724960;1
ENSMUSG00000001786;Fbxo7;10;85857836;85887737;1
ENSMUSG00000001794;Capns1;7;29886361;29898236;-1
ENSMUSG00000001802;Lrp3;7;34899452;34914923;-1
ENSMUSG00000001827;Folr1;7;101507538;101519995;-1
ENSMUSG00000001829;Clpb;7;101312840;101444713;1
ENSMUSG00000001833;Septin7;9;25163735;25219867;1
ENSMUSG00000001844;Zdhhc4;5;143302244;143315011;-1
ENSMUSG00000001847;Rac1;5;143489389;143513791;-1
ENSMUSG00000001855;Nup214;2;31864448;31943987;1
ENSMUSG00000001864;Aif1l;2;31840151;31863454;1
ENSMUSG00000001870;Ltbp1;17;75312563;75699507;1
ENSMUSG00000001891;Ugp2;11;21271138;21321201;-1
ENSMUSG00000001909;Trmt1;8;85412936;85426437;1
ENSMUSG00000001910;Nacc1;8;85397108;85414531;-1
ENSMUSG00000001911;Nfix;8;85426505;85526973;-1
ENSMUSG00000001918;Slc1a5;7;16515265;16532199;1
ENSMUSG00000001924;Uba1;X;20524565;20549418;1
ENSMUSG00000001930;Vwf;6;125523737;125663642;1
ENSMUSG00000001942;Siae;9;37466994;37560951;1
ENSMUSG00000001943;Vsig2;9;37450551;37455501;1
ENSMUSG00000001946;Esam;9;37439374;37449615;1
ENSMUSG00000001948;Spa17;9;37514586;37525018;-1
ENSMUSG00000001962;Fam50a;X;73356639;73363755;1
ENSMUSG00000001964;Emd;X;73298293;73305154;1
ENSMUSG00000001983;Taco1;11;105956887;105964438;1
ENSMUSG00000001985;Grik3;4;125384493;125607966;1
ENSMUSG00000001986;Gria3;X;40489731;40767478;1
ENSMUSG00000001995;Sipa1l2;8;126144802;126296547;-1
ENSMUSG00000001998;Ap4e1;2;126850637;126909829;1
ENSMUSG00000001999;Blvra;2;126912585;126939004;1
ENSMUSG00000002006;Pdzd4;X;72836965;72868575;-1
ENSMUSG00000002007;Srpk3;X;72818011;72822531;1
ENSMUSG00000002010;Idh3g;X;72822569;72830503;-1
ENSMUSG00000002014;Ssr4;X;72830634;72834436;1
ENSMUSG00000002015;Bcap31;X;72729784;72759781;-1
ENSMUSG00000002017;Fam98a;17;75844081;75858941;-1
ENSMUSG00000002020;Ltbp2;12;84829986;84923306;-1
ENSMUSG00000002028;Kmt2a;9;44714652;44792594;-1
ENSMUSG00000002031;Ift46;9;44679205;44704744;1
ENSMUSG00000002032;Tmem25;9;44705066;44710604;-1
ENSMUSG00000002043;Trappc6a;7;19242320;19250070;1
ENSMUSG00000002052;Supt6;11;78097572;78136813;-1
ENSMUSG00000002055;Spag5;11;78192355;78213283;1
ENSMUSG00000002058;Unc119;11;78234308;78239990;1
ENSMUSG00000002059;Rab34;11;78079256;78083019;1
ENSMUSG00000002064;Sdf2;11;78136572;78146322;1
ENSMUSG00000002068;Ccne1;7;37797409;37806959;-1
ENSMUSG00000002076;Hsf2bp;17;32163743;32255323;-1
ENSMUSG00000002102;Psmc3;2;90884354;90896714;1
ENSMUSG00000002103;Acp2;2;91033230;91044443;1
ENSMUSG00000002104;Rapsn;2;90865965;90876074;1
ENSMUSG00000002105;Slc39a13;2;90892136;90900762;-1
ENSMUSG00000002107;Celf2;2;6544505;7514374;-1
ENSMUSG00000002108;Nr1h3;2;91014406;91033179;-1
ENSMUSG00000002109;Ddb2;2;91041917;91067327;-1
